rank,feature,p_donor,q_hat_recipient_center,q_hat_recipient/p_donor
107,sgRNA0253,0.0007020169567864,9.113799438100124e-05,0.12982306695012133
108,sgRNA0784,0.0007378019290696,9.630129313329318e-05,0.13052458842813444
109,sgRNA0194,0.0007372756794772,9.666451726369394e-05,0.13111041087404166
110,sgRNA0269,0.0004531008995817,5.944029377348912e-05,0.13118555674544904
111,sgRNA0246,0.0004494171524349,5.908511750389754e-05,0.13147054397852845
112,sgRNA0414,0.0004457334052881,5.944029377348912e-05,0.13335391305273578
113,sgRNA1029,0.0007025432063788,9.677555591497728e-05,0.137750326294946
114,sgRNA0109,0.000428367168739,5.944029377348912e-05,0.13876015276442794
115,sgRNA0133,0.0008288431085546,0.0001156169629429,0.1394919759235517
116,sgRNA0455,0.0003346947412919,4.6790636307127774e-05,0.13980093062268906
117,sgRNA0828,0.0006704419812425,9.604781450088732e-05,0.14326044189966478
118,sgRNA0508,0.0006520232455085,9.576633821498056e-05,0.1468756503309852
119,sgRNA0087,0.0003115397592264,4.589914024542873e-05,0.14732995993642412
120,sgRNA0432,0.0007904268883095,0.0001173876344978,0.1485116918895042
121,sgRNA0751,0.000404685937081,6.277362803790582e-05,0.1551169000106405
122,sgRNA0327,0.0007167519453736,0.0001138309036712,0.15881492112569956
123,sgRNA0739,0.0006467607495845,0.0001036299764402,0.16022922928884484
124,sgRNA0270,0.0004915171198268,7.91529047161067e-05,0.16103794053805995
125,sgRNA0760,0.000636762007329,0.0001036299764402,0.16274522544913209
126,sgRNA0499,0.0007004382080092,0.0001148869256898,0.16402150022103162
127,sgRNA1219,0.0004809921279789,7.95919043163308e-05,0.1654744426915492
128,sgRNA0315,0.0009814554903503,0.0001655996477331,0.16872863758089973
129,sgRNA0706,0.0007151731965964,0.000122685770611,0.1715469360357423
130,sgRNA0583,0.0005451945782515,9.554447009397811e-05,0.17524838636583642
131,sgRNA0521,0.0005551933205071,9.907836120784987e-05,0.17845740852457326
132,sgRNA0005,0.0005420370806971,9.730117346414044e-05,0.1795101791541713
133,sgRNA0220,0.0005236183449632,9.565853307687616e-05,0.18268751276007922
134,sgRNA0197,0.0010619716779873,0.0001942887053556,0.18295092927885356
135,sgRNA0777,0.0007472744217327,0.0001368569225638,0.18314145189992023
136,sgRNA0222,0.0009614580058391,0.0001770614187281,0.18415928480783925
137,sgRNA0286,0.0009872442358667,0.0001845839955577,0.18696892709194093
138,sgRNA0756,0.0010609191788025,0.0002014503926812,0.18988288335835796
139,sgRNA0526,0.0007651669078743,0.0001454197107219,0.19004966004853577
